Test Case ID,Title,Preconditions,Steps,Expected Result,Priority
TC-001,Successful order placement as a logged-in user,"User is logged in; cart has at least one item with available stock","1. Navigate to /products and add one or more items to the cart | 2. Navigate to /checkout | 3. Fill in Full Name, Email, Address, City, Zip Code, and Phone with valid data | 4. Click Place Order","Order is submitted; success alert displays with an Order ID; user is redirected to /; cart is cleared",High
TC-002,Successful order placement as a guest (no token),"User is NOT logged in; cart has at least one item","1. Without logging in, add items to the cart | 2. Navigate to /checkout | 3. Fill in all fields with valid data | 4. Click Place Order","Order is submitted without an Authorization header; success alert with Order ID appears; cart clears; user is redirected to /",High
TC-003,Empty cart redirect,Cart is empty (no items added),1. Navigate directly to /checkout with an empty cart,"Page shows Your cart is empty message and a Continue Shopping button; no checkout form is visible",High
TC-004,Continue Shopping button navigates to products,"Cart is empty; user is on the empty-cart view of /checkout","1. Navigate to /checkout with an empty cart | 2. Click Continue Shopping",User is navigated to /products,Medium
TC-005,Form submission blocked when required fields are missing,Cart has at least one item,"1. Navigate to /checkout | 2. Leave one or more required fields blank (e.g. clear the Name field) | 3. Click Place Order","Browser native validation prevents submission; no API call is made; an inline validation message appears on the empty field",High
TC-006,Invalid email format is rejected,Cart has at least one item,"1. Navigate to /checkout | 2. Fill in all fields but enter notanemail in the Email field | 3. Click Place Order","Browser native email validation fires; form is not submitted; user sees a validation error on the Email field",Medium
TC-007,Stock adjustment error — server returns adjusted quantities,"Cart contains an item with quantity higher than current stock (simulate via API or DB manipulation); user is on /checkout","1. Navigate to /checkout with an overstocked item in cart | 2. Fill in all fields with valid data | 3. Click Place Order","Server returns adjustedItems in the response; cart quantities are updated to reflect available stock; error messages are displayed above the form; form remains visible so the user can retry",High
TC-008,Generic server error (non-OK response no adjustedItems),"Cart has at least one item; server is configured to return a non-2xx error without adjustedItems","1. Navigate to /checkout | 2. Fill in all fields with valid data | 3. Click Place Order","Error message from responseData.errors or responseData.error is displayed; cart is NOT cleared; user can retry",High
TC-009,Network failure during order submission,"Cart has at least one item; simulate network failure (e.g. disable network in browser DevTools before submitting)","1. Navigate to /checkout | 2. Fill in all fields with valid data | 3. Disable network connectivity in browser DevTools | 4. Click Place Order","An error occurred. Please try again. message is shown; loading state is cleared; cart is NOT cleared",High
TC-010,Loading state during submission,"Cart has at least one item; network is slow or throttled (use DevTools Network throttling)","1. Navigate to /checkout | 2. Fill in all fields with valid data | 3. Click Place Order | 4. Observe the button immediately after clicking","Button text changes to Placing Order... and is disabled; no duplicate submissions are possible",Medium
TC-011,Order summary displays correct items and total,"Cart has two or more different items with known prices and quantities","1. Add Item A (e.g. 2x $10.00) and Item B (e.g. 1x $5.99) to the cart | 2. Navigate to /checkout | 3. Inspect the Order Summary section","Each item shows its image, name, quantity, and line total (price x quantity); the grand total matches the sum of all line totals (e.g. $25.99)",High
TC-012,Previous error messages are cleared on retry,"Cart has at least one item; a failed submission has already shown error messages","1. Trigger an error (e.g. disconnect network and submit) | 2. Re-enable network | 3. Click Place Order again","Error messages from the previous attempt disappear immediately when the new submission starts; new result (success or error) is shown after the request completes",Medium
